2022-08-15 15:58:21 |INFO  |main |ClientWorker.java:239 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-192.168.56.10_8848] [subscribe] mail-product+DEFAULT_GROUP
2022-08-15 15:58:21 |INFO  |main |CacheData.java:93 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-192.168.56.10_8848] [add-listener] ok, tenant=, dataId=mail-product, group=DEFAULT_GROUP, cnt=1
2022-08-15 15:58:21 |INFO  |main |ClientWorker.java:239 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-192.168.56.10_8848] [subscribe] mail-product-dev.yaml+DEFAULT_GROUP
2022-08-15 15:58:21 |INFO  |main |CacheData.java:93 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-192.168.56.10_8848] [add-listener] ok, tenant=, dataId=mail-product-dev.yaml, group=DEFAULT_GROUP, cnt=1
2022-08-15 15:58:21 |INFO  |main |ClientWorker.java:239 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-192.168.56.10_8848] [subscribe] all-service.yaml+DEFAULT_GROUP
2022-08-15 15:58:21 |INFO  |main |CacheData.java:93 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-192.168.56.10_8848] [add-listener] ok, tenant=, dataId=all-service.yaml, group=DEFAULT_GROUP, cnt=1
2022-08-15 15:58:21 |INFO  |main |ClientWorker.java:239 |com.alibaba.nacos.client.config.impl.ClientWorker |[fixed-192.168.56.10_8848] [subscribe] mail-product.yaml+DEFAULT_GROUP
2022-08-15 15:58:21 |INFO  |main |CacheData.java:93 |com.alibaba.nacos.client.config.impl.CacheData |[fixed-192.168.56.10_8848] [add-listener] ok, tenant=, dataId=mail-product.yaml, group=DEFAULT_GROUP, cnt=1
2022-08-15 15:58:21 |INFO  |com.alibaba.nacos.naming.push.receiver |PushReceiver.java:86 |com.alibaba.nacos.client.naming |received push data: {"type":"dom","data":"{\"hosts\":[{\"ip\":\"192.168.31.115\",\"port\":8009,\"valid\":true,\"healthy\":true,\"marked\":false,\"instanceId\":\"192.168.31.115#8009#DEFAULT#DEFAULT_GROUP@@mail-product\",\"metadata\":{\"preserved.register.source\":\"SPRING_CLOUD\"},\"enabled\":true,\"weight\":1.0,\"clusterName\":\"DEFAULT\",\"serviceName\":\"DEFAULT_GROUP@@mail-product\",\"ephemeral\":true}],\"dom\":\"DEFAULT_GROUP@@mail-product\",\"name\":\"DEFAULT_GROUP@@mail-product\",\"cacheMillis\":10000,\"lastRefTime\":1660314532472,\"checksum\":\"dac5ce178e3623459a3bcec82402ae01\",\"useSpecifiedURL\":false,\"clusters\":\"DEFAULT\",\"env\":\"\",\"metadata\":{}}","lastRefTime":27929645138839} from /192.168.56.10
2022-08-15 15:58:29 |INFO  |http-nio-8009-exec-2 |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring DispatcherServlet 'dispatcherServlet'
2022-08-15 15:58:29 |INFO  |http-nio-8009-exec-2 |FrameworkServlet.java:525 |org.springframework.web.servlet.DispatcherServlet |Initializing Servlet 'dispatcherServlet'
2022-08-15 15:58:29 |INFO  |http-nio-8009-exec-2 |FrameworkServlet.java:547 |org.springframework.web.servlet.DispatcherServlet |Completed initialization in 1 ms
2022-08-15 15:58:29 |INFO  |http-nio-8009-exec-2 |HikariDataSource.java:110 |com.zaxxer.hikari.HikariDataSource |HikariPool-1 - Starting...
